,0,y
0,8207,0
1,18132,0
2,33050,0
3,41185,0
4,25654,0
5,418,0
6,15390,0
7,21763,0
8,16883,0
9,30319,0
10,30191,0
11,5481,0
12,28564,0
13,28928,0
14,39470,0
15,22926,0
16,4772,0
17,9297,0
18,13564,0
19,15607,0
20,12960,0
21,39146,0
22,6638,0
23,13644,0
24,9355,0
25,22851,0
26,35674,0
27,14549,0
28,10967,0
29,36543,0
30,13684,0
31,20850,0
32,10742,0
33,9506,0
34,16481,0
35,35590,0
36,29274,0
37,32193,0
38,38471,0
39,40707,1
40,288,0
41,8820,0
42,24571,0
43,7247,0
44,19190,0
45,15076,0
46,25647,0
47,3271,0
48,11781,0
49,21523,0
50,19966,0
51,4375,0
52,3199,0
53,18373,0
54,2818,0
55,39438,0
56,18022,0
57,29423,0
58,5427,0
59,1431,0
60,32200,1
61,21186,1
62,33263,0
63,4643,0
64,13438,0
65,35231,1
66,18469,0
67,12211,0
68,35505,0
69,29836,0
70,36756,0
71,40986,0
72,8848,0
73,23066,0
74,11887,0
75,12200,0
76,17150,0
77,15309,1
78,15320,0
79,22192,0
80,15201,0
81,26103,0
82,22598,0
83,37047,0
84,32685,0
85,3716,0
86,27890,0
87,40931,0
88,2914,0
89,37527,0
90,40650,0
91,8724,0
92,14721,0
93,18898,0
94,35102,0
95,40789,0
96,33518,0
97,843,0
98,25893,0
99,17798,0
100,15677,0
101,41155,0
102,15736,0
103,23758,0
104,33076,0
105,33797,0
106,39220,0
107,37455,0
108,36191,0
109,33776,0
110,20677,0
111,31992,0
112,27406,1
113,36527,0
114,6460,0
115,25683,0
116,35367,0
117,3173,0
118,18617,0
119,10656,0
120,35287,0
121,14230,0
122,37229,0
123,34804,0
124,11274,0
125,9480,0
126,20418,1
127,31516,0
128,5603,0
129,40809,0
130,11732,0
131,35984,0
132,35091,0
133,31854,0
134,26645,0
135,15886,0
136,17674,0
137,36788,0
138,22907,0
139,6887,1
140,30778,0
141,35654,0
142,7253,0
143,26020,0
144,36214,0
145,22122,0
146,32151,0
147,15247,0
148,27992,0
149,21592,0
150,5874,1
151,32730,0
152,31856,0
153,24429,0
154,15788,0
155,17985,0
156,7988,0
157,19045,1
158,9346,0
159,22421,0
160,36827,0
161,14671,0
162,35301,0
163,7934,0
164,13082,0
165,12653,0
166,17843,0
167,5200,0
168,13115,0
169,36667,0
170,3470,0
171,32072,0
172,26422,0
173,23581,0
174,26066,0
175,31198,0
176,29079,0
177,29767,0
178,18303,0
179,30743,0
180,139,0
181,20277,0
182,22264,0
183,36058,0
184,22260,1
185,18200,0
186,14011,0
187,11059,0
188,39092,0
189,38759,0
190,38520,0
191,17468,0
192,3156,0
193,26821,0
194,10215,0
195,39702,0
196,20812,0
197,8666,0
198,10140,0
199,26258,0
200,36170,0
201,20044,0
202,36307,0
203,35468,0
204,35727,0
205,36125,0
206,25372,0
207,20648,0
208,10584,0
209,30148,0
210,4929,1
211,13334,0
212,594,0
213,1965,0
214,21040,1
215,26749,0
216,36023,0
217,24624,0
218,40772,0
219,1257,0
220,37683,0
221,19296,0
222,3462,0
223,11399,1
224,23078,0
225,35836,0
226,17944,0
227,30245,0
228,31996,0
229,34261,0
230,9892,0
231,36679,0
232,19498,0
233,17427,0
234,1207,0
235,31286,0
236,17368,1
237,17356,1
238,21876,0
239,29586,0
240,24996,0
241,30754,0
242,11866,0
243,5875,0
244,30924,0
245,16876,0
246,40999,0
247,17318,0
248,25949,0
249,34237,1
250,35960,0
251,15804,1
252,36920,0
253,7125,0
254,9129,0
255,552,1
256,8559,0
257,38620,0
258,8386,0
259,14347,0
260,27522,0
261,26927,0
262,17179,0
263,30025,0
264,13366,0
265,16080,0
266,34714,0
267,11468,0
268,12322,0
269,16720,0
270,26620,0
271,22741,0
272,1681,1
273,24153,0
274,119,0
275,40585,1
276,13689,0
277,14655,0
278,10179,0
279,10353,1
280,32793,0
281,22277,0
282,13688,0
283,25720,0
284,13268,0
285,14737,0
286,19626,0
287,37824,0
288,2987,0
289,37988,0
290,36231,0
291,22332,0
292,21156,0
293,31713,0
294,13889,0
295,29766,0
296,32614,0
297,17961,1
298,354,0
299,1151,0
300,9112,1
301,6815,1
302,28255,1
303,21024,0
304,33098,0
305,4835,0
306,36795,0
307,37303,0
308,4272,0
309,15856,0
310,26846,0
311,37337,1
312,28486,0
313,30337,0
314,16920,0
315,15577,0
316,21595,0
317,39165,0
318,29786,0
319,35972,0
320,10705,0
321,7353,0
322,19732,0
323,32627,0
324,33944,0
325,18626,0
326,5684,0
327,8113,0
328,12171,0
329,15894,0
330,18639,0
331,12367,0
332,18836,0
333,13601,0
334,3770,0
335,40173,0
336,13533,0
337,6325,0
338,36322,0
339,222,0
340,36184,0
341,30170,0
342,9646,0
343,754,0
344,1964,1
345,22845,0
346,6299,0
347,26627,0
348,24319,0
349,12983,0
350,5919,0
351,1439,0
352,13048,1
353,40287,1
354,29659,0
355,38489,0
356,2290,0
357,10319,0
358,39124,0
359,36925,0
360,32806,0
361,25374,0
362,4825,0
363,3323,0
364,36535,0
365,4501,0
366,32267,0
367,13446,0
368,18350,0
369,35495,0
370,3246,0
371,10667,0
372,26702,0
373,5088,0
374,970,0
375,28488,0
376,5649,0
377,33028,0
378,24357,0
379,26314,0
380,35783,0
381,40016,0
382,38293,0
383,3254,0
384,3027,0
385,19292,0
386,31860,0
387,13703,0
388,27137,0
389,22408,1
