,0,y
0,8207,0.0
1,18132,0.0
2,33050,1.0
3,41185,
4,25654,1.0
5,418,0.0
6,15390,
7,21763,
8,16883,
9,30319,
10,30191,
11,5481,
12,28564,1.0
13,28928,
14,39470,
15,22926,
16,4772,
17,9297,1.0
18,13564,
19,15607,
20,12960,
21,39146,0.0
22,6638,
23,13644,
24,9355,
25,22851,
26,35674,
27,14549,
28,10967,
29,36543,
30,13684,
31,20850,
32,10742,
33,9506,1.0
34,16481,
35,35590,
36,29274,
37,32193,0.0
38,38471,
39,40707,
40,288,
41,8820,0.0
42,24571,
43,7247,1.0
44,19190,
45,15076,0.0
46,25647,0.0
47,3271,
48,11781,
49,21523,0.0
50,19966,
51,4375,
52,3199,
53,18373,
54,2818,0.0
55,39438,
56,18022,
57,29423,0.0
58,5427,0.0
59,1431,0.0
60,32200,
61,21186,
62,33263,
63,4643,
64,13438,
65,35231,
66,18469,0.0
67,12211,
68,35505,0.0
69,29836,0.0
70,36756,0.0
71,40986,0.0
72,8848,0.0
73,23066,
74,11887,
75,12200,0.0
76,17150,
77,15309,0.0
78,15320,0.0
79,22192,
80,15201,0.0
81,26103,0.0
82,22598,0.0
83,37047,1.0
84,32685,
85,3716,
86,27890,
87,40931,0.0
88,2914,
89,37527,
90,40650,
91,8724,
92,14721,
93,18898,
94,35102,
95,40789,
96,33518,1.0
97,843,
98,25893,
99,17798,
100,15677,
101,41155,
102,15736,0.0
103,23758,
104,33076,
105,33797,1.0
106,39220,
107,37455,0.0
108,36191,
109,33776,
110,20677,
111,31992,
112,27406,
113,36527,
114,6460,
115,25683,
116,35367,
117,3173,
118,18617,0.0
119,10656,0.0
120,35287,
121,14230,
122,37229,
123,34804,
124,11274,
125,9480,
126,20418,
127,31516,
128,5603,
129,40809,
130,11732,
131,35984,0.0
132,35091,
133,31854,
134,26645,
135,15886,
136,17674,
137,36788,0.0
138,22907,
139,6887,0.0
140,30778,
141,35654,
142,7253,
143,26020,
144,36214,
145,22122,
146,32151,
147,15247,0.0
148,27992,
149,21592,
150,5874,
151,32730,
152,31856,
153,24429,
154,15788,
155,17985,
156,7988,
157,19045,
158,9346,
159,22421,
160,36827,
161,14671,0.0
162,35301,0.0
163,7934,
164,13082,
165,12653,
166,17843,
167,5200,
168,13115,
169,36667,
170,3470,0.0
171,32072,
172,26422,
173,23581,0.0
174,26066,
175,31198,
176,29079,
177,29767,
178,18303,0.0
179,30743,
180,139,
181,20277,
182,22264,
183,36058,
184,22260,0.0
185,18200,
186,14011,
187,11059,0.0
188,39092,
189,38759,
190,38520,
191,17468,
192,3156,
193,26821,0.0
194,10215,
195,39702,
196,20812,
197,8666,
198,10140,0.0
199,26258,
200,36170,0.0
201,20044,
202,36307,
203,35468,
204,35727,
205,36125,0.0
206,25372,
207,20648,0.0
208,10584,0.0
209,30148,
210,4929,
211,13334,0.0
212,594,0.0
213,1965,
214,21040,
215,26749,
216,36023,
217,24624,0.0
218,40772,
219,1257,
220,37683,
221,19296,
222,3462,0.0
223,11399,0.0
224,23078,
225,35836,
226,17944,
227,30245,
228,31996,
229,34261,
230,9892,
231,36679,
232,19498,
233,17427,
234,1207,
235,31286,
236,17368,0.0
237,17356,
238,21876,
239,29586,
240,24996,
241,30754,
242,11866,
243,5875,
244,30924,
245,16876,
246,40999,
247,17318,
248,25949,
249,34237,
250,35960,
251,15804,
252,36920,
253,7125,0.0
254,9129,0.0
255,552,0.0
256,8559,0.0
257,38620,
258,8386,
259,14347,0.0
260,27522,0.0
261,26927,
262,17179,
263,30025,
264,13366,
265,16080,
266,34714,
267,11468,
268,12322,0.0
269,16720,0.0
270,26620,0.0
271,22741,
272,1681,
273,24153,
274,119,
275,40585,
276,13689,0.0
277,14655,
278,10179,
279,10353,
280,32793,1.0
281,22277,
282,13688,
283,25720,
284,13268,
285,14737,0.0
286,19626,
287,37824,
288,2987,0.0
289,37988,
290,36231,0.0
291,22332,
292,21156,
293,31713,
294,13889,
295,29766,
296,32614,
297,17961,
298,354,0.0
299,1151,
300,9112,
301,6815,0.0
302,28255,0.0
303,21024,
304,33098,
305,4835,
306,36795,0.0
307,37303,
308,4272,
309,15856,0.0
310,26846,0.0
311,37337,0.0
312,28486,
313,30337,
314,16920,
315,15577,
316,21595,
317,39165,
318,29786,0.0
319,35972,
320,10705,
321,7353,
322,19732,0.0
323,32627,
324,33944,
325,18626,
326,5684,
327,8113,0.0
328,12171,
329,15894,
330,18639,
331,12367,
332,18836,
333,13601,
334,3770,
335,40173,
336,13533,0.0
337,6325,0.0
338,36322,
339,222,0.0
340,36184,1.0
341,30170,
342,9646,
343,754,
344,1964,
345,22845,
346,6299,1.0
347,26627,
348,24319,
349,12983,
350,5919,
351,1439,
352,13048,0.0
353,40287,
354,29659,0.0
355,38489,0.0
356,2290,
357,10319,
358,39124,0.0
359,36925,0.0
360,32806,
361,25374,
362,4825,
363,3323,
364,36535,
365,4501,
366,32267,0.0
367,13446,
368,18350,
369,35495,
370,3246,
371,10667,
372,26702,
373,5088,
374,970,0.0
375,28488,
376,5649,
377,33028,
378,24357,
379,26314,0.0
380,35783,
381,40016,
382,38293,0.0
383,3254,
384,3027,
385,19292,
386,31860,0.0
387,13703,
388,27137,
389,22408,
390,38170,
391,22809,
392,27473,
393,19452,
394,5532,
395,2005,
396,27758,
397,19229,
398,7319,
399,10673,
400,8076,
401,10893,
402,19136,
403,33546,
404,3788,
405,26393,
406,31327,
407,32159,
408,29430,
409,3451,
410,31445,0.0
411,21549,
412,4581,
413,32181,
414,37946,
415,22436,
416,24016,
417,17278,
418,12643,0.0
419,20842,
420,30786,
421,35784,
422,32017,
423,6027,
424,40282,
425,36593,
426,26221,
427,10603,0.0
428,16424,
429,23538,
430,5536,0.0
431,31775,
432,6913,0.0
433,33898,
434,25968,0.0
435,4573,
436,33120,
437,15047,
438,28008,
439,10303,
440,16282,
441,30418,
442,15994,
443,21276,0.0
444,352,
445,6333,
446,39349,
447,12611,
448,16654,
449,19426,
450,29653,
451,23346,
452,23119,0.0
453,40745,
454,7226,
455,14239,
456,11581,
457,27420,
458,28574,
459,7185,0.0
460,15119,
461,5342,
462,35037,
463,16952,
464,7990,
465,24731,1.0
466,17224,0.0
467,20798,0.0
468,5870,
469,16466,
470,5542,
471,30417,
472,13085,
473,12994,
474,5637,
475,20431,
476,178,
477,620,
478,27952,
479,19263,
480,15619,
481,4023,
482,36162,
483,12628,
484,27135,
485,18292,
486,260,
487,26203,0.0
488,1700,0.0
489,10344,
490,2372,
491,36564,
492,1979,
493,20452,0.0
494,40551,
495,16055,
496,19477,
497,546,0.0
498,35567,0.0
499,487,
500,30734,0.0
501,3383,
502,6919,0.0
503,14802,0.0
504,35790,0.0
505,758,
506,37571,
507,30165,
508,21773,
509,13500,
510,14402,
511,36707,0.0
512,25101,
513,24602,
514,3531,
515,7598,
516,7377,0.0
517,340,
518,19375,
519,37445,
520,29144,
521,33943,
522,35702,
523,9743,
524,4256,0.0
525,1945,
526,7992,
527,10459,
528,31699,0.0
529,40940,0.0
530,39289,
531,16120,0.0
532,33965,
533,19205,
534,26815,
535,11194,
536,25569,
537,2831,
538,36037,
539,8256,
540,37103,
541,28761,
542,16256,
543,12216,0.0
544,36627,
545,26623,
546,34206,0.0
547,32085,
548,9247,
549,29502,
550,14875,0.0
551,21022,0.0
552,24572,0.0
553,22212,0.0
554,39488,
555,35080,
556,4680,
557,13961,
558,35044,
559,6648,
560,1744,
